,binary_runs,hit_or_miss_runs,saved_runs,score
0,8,8,0.0,0.0
1,9,9,0.0,0.0
2,10,9,0.1,0.0
3,10,10,0.0,0.0
4,10,9,0.1,0.0
5,10,10,0.0,0.0
6,10,9,0.1,0.0
7,10,9,0.1,0.0
8,9,9,0.0,0.0
9,9,9,0.0,0.0
10,9,9,0.0,0.0
11,9,6,0.3333333333333333,0.0
12,10,9,0.1,0.0
13,9,9,0.0,0.0
14,9,9,0.0,0.0
15,9,9,0.0,0.0
16,9,9,0.0,0.0
17,9,9,0.0,0.0
18,9,9,0.0,0.0
19,10,9,0.1,0.0
20,9,9,0.0,0.0
21,9,10,-0.1111111111111111,0.0
22,10,9,0.1,0.0
23,10,10,0.0,0.0
24,10,9,0.1,0.0
25,10,9,0.1,0.0
26,10,10,0.0,0.0
27,10,9,0.1,0.0
28,10,9,0.1,0.0
29,10,10,0.0,0.0
30,10,9,0.1,0.0
31,10,10,0.0,0.0
32,10,8,0.2,0.0
33,10,10,0.0,0.0
34,10,10,0.0,0.0
35,10,8,0.2,0.0
36,10,9,0.1,0.0
37,10,10,0.0,0.0
38,10,10,0.0,0.0
39,9,9,0.0,0.0
40,10,9,0.1,0.0
41,9,9,0.0,0.0
42,9,9,0.0,0.0
43,10,10,0.0,0.0
44,9,10,-0.1111111111111111,0.0
45,10,10,0.0,0.0
46,9,9,0.0,0.0
47,10,9,0.1,0.0
48,9,9,0.0,0.0
49,9,8,0.1111111111111111,0.0
50,9,5,0.4444444444444444,0.0
51,9,9,0.0,0.0
52,9,8,0.1111111111111111,0.0
53,8,9,-0.125,0.0
54,9,10,-0.1111111111111111,0.0
55,10,9,0.1,0.0
56,10,10,0.0,0.0
57,9,9,0.0,0.0
58,10,7,0.3,0.0
59,10,10,0.0,0.0
60,10,10,0.0,0.0
61,9,9,0.0,0.0
62,8,8,0.0,0.0
63,8,8,0.0,0.0
64,9,9,0.0,0.0
65,10,10,0.0,0.0
66,10,10,0.0,0.0
67,10,10,0.0,0.0
68,10,10,0.0,0.0
69,10,10,0.0,0.0
70,9,10,-0.1111111111111111,0.0
71,10,9,0.1,0.0
72,9,9,0.0,0.0
73,9,7,0.2222222222222222,0.0
74,9,9,0.0,0.0
75,10,9,0.1,0.0
76,10,8,0.2,0.0
77,10,9,0.1,0.0
78,9,10,-0.1111111111111111,0.0
79,10,10,0.0,0.0
80,9,9,0.0,0.0
81,10,9,0.1,0.0
82,9,8,0.1111111111111111,0.0
83,9,9,0.0,0.0
84,9,9,0.0,0.0
85,8,9,-0.125,0.0
86,10,10,0.0,0.0
87,9,10,-0.1111111111111111,0.0
88,10,9,0.1,0.0
89,9,8,0.1111111111111111,0.0
90,9,9,0.0,0.0
91,9,9,0.0,0.0
92,9,9,0.0,0.0
93,9,10,-0.1111111111111111,0.0
94,9,9,0.0,0.0
95,7,7,0.0,0.0
96,10,9,0.1,0.0
97,10,9,0.1,0.0
98,10,10,0.0,0.0
99,10,9,0.1,0.0
100,9,10,-0.1111111111111111,0.0
101,10,9,0.1,0.0
102,9,9,0.0,0.0
103,10,10,0.0,0.0
104,9,8,0.1111111111111111,0.0
105,10,9,0.1,0.0
106,10,10,0.0,0.0
107,10,10,0.0,0.0
108,10,10,0.0,0.0
109,10,10,0.0,0.0
110,10,9,0.1,0.0
111,10,10,0.0,0.0
112,10,7,0.3,0.0
113,9,7,0.2222222222222222,0.0
114,10,9,0.1,0.0
115,10,10,0.0,0.0
116,10,10,0.0,0.0
117,9,9,0.0,0.0
118,10,9,0.1,0.0
119,10,9,0.1,0.0
120,9,9,0.0,0.0
121,9,9,0.0,0.0
122,9,9,0.0,0.0
123,10,10,0.0,0.0
124,9,9,0.0,0.0
125,10,9,0.1,0.0
126,9,10,-0.1111111111111111,0.0
127,10,9,0.1,0.0
128,10,10,0.0,0.0
129,10,9,0.1,0.0
130,9,10,-0.1111111111111111,0.0
131,9,9,0.0,0.0
132,10,10,0.0,0.0
133,10,8,0.2,0.0
134,9,10,-0.1111111111111111,0.0
135,10,9,0.1,0.0
136,10,10,0.0,0.0
137,10,10,0.0,0.0
138,9,9,0.0,0.0
139,9,9,0.0,0.0
140,8,7,0.125,0.0
141,8,8,0.0,0.0
142,10,10,0.0,0.0
143,10,9,0.1,0.0
144,10,9,0.1,0.0
145,10,9,0.1,0.0
146,10,10,0.0,0.0
147,9,10,-0.1111111111111111,0.0
148,10,9,0.1,0.0
149,10,8,0.2,0.0
