,binary_runs,hit_or_miss_runs,saved_runs,score
0,10,9,0.1,0.0
1,10,10,0.0,0.0
2,9,9,0.0,0.0
3,10,9,0.1,0.0
4,10,9,0.1,0.0
5,10,10,0.0,0.0
6,9,9,0.0,0.0
7,8,8,0.0,0.0
8,8,8,0.0,0.0
9,8,8,0.0,0.0
10,8,8,0.0,0.0
11,10,7,0.3,0.0
12,9,10,-0.1111111111111111,0.0
13,10,9,0.1,0.0
14,9,9,0.0,0.0
15,10,10,0.0,0.0
16,10,10,0.0,0.0
17,10,9,0.1,0.0
18,10,9,0.1,0.0
19,9,9,0.0,0.0
20,9,9,0.0,0.0
21,9,10,-0.1111111111111111,0.0
22,10,10,0.0,0.0
23,10,9,0.1,0.0
24,10,11,-0.1,0.0
25,10,10,0.0,0.0
26,10,9,0.1,0.0
27,10,10,0.0,0.0
28,10,10,0.0,0.0
29,9,8,0.1111111111111111,0.0
30,9,8,0.1111111111111111,0.0
31,9,9,0.0,0.0
32,9,7,0.2222222222222222,0.0
33,7,7,0.0,0.0
34,8,9,-0.125,0.0
35,9,7,0.2222222222222222,0.0
36,10,9,0.1,0.0
37,9,9,0.0,0.0
38,8,10,-0.25,0.0
39,9,9,0.0,0.0
40,10,8,0.2,0.0
41,9,10,-0.1111111111111111,0.0
42,10,10,0.0,0.0
43,10,10,0.0,0.0
44,10,10,0.0,0.0
45,10,10,0.0,0.0
46,10,11,-0.1,0.0
47,10,9,0.1,0.0
48,10,10,0.0,0.0
49,9,9,0.0,0.0
50,9,6,0.3333333333333333,0.0
51,10,8,0.2,0.0
52,9,8,0.1111111111111111,0.0
53,8,8,0.0,0.0
54,8,8,0.0,0.0
55,9,9,0.0,0.0
56,9,10,-0.1111111111111111,0.0
57,9,9,0.0,0.0
58,10,7,0.3,0.0
59,10,9,0.1,0.0
60,10,9,0.1,0.0
61,10,10,0.0,0.0
62,8,8,0.0,0.0
63,10,10,0.0,0.0
64,10,9,0.1,0.0
65,10,10,0.0,0.0
66,9,9,0.0,0.0
67,9,8,0.1111111111111111,0.0
68,9,8,0.1111111111111111,0.0
69,8,9,-0.125,0.0
70,10,10,0.0,0.0
71,9,9,0.0,0.0
72,9,9,0.0,0.0
73,10,10,0.0,0.0
74,10,9,0.1,0.0
75,10,10,0.0,0.0
76,10,9,0.1,0.0
77,10,10,0.0,0.0
78,10,10,0.0,0.0
79,8,8,0.0,0.0
80,10,9,0.1,0.0
81,9,10,-0.1111111111111111,0.0
82,10,9,0.1,0.0
83,9,10,-0.1111111111111111,0.0
84,10,10,0.0,0.0
85,9,9,0.0,0.0
86,9,9,0.0,0.0
87,10,10,0.0,0.0
88,10,9,0.1,0.0
89,9,9,0.0,0.0
90,8,8,0.0,0.0
91,10,10,0.0,0.0
92,10,11,-0.1,0.0
93,10,11,-0.1,0.0
94,10,10,0.0,0.0
95,10,10,0.0,0.0
96,10,10,0.0,0.0
97,10,9,0.1,0.0
98,10,10,0.0,0.0
99,10,9,0.1,0.0
100,10,11,-0.1,0.0
101,10,10,0.0,0.0
102,10,10,0.0,0.0
103,9,9,0.0,0.0
104,10,10,0.0,0.0
105,9,9,0.0,0.0
106,9,10,-0.1111111111111111,0.0
107,10,9,0.1,0.0
108,9,9,0.0,0.0
109,9,10,-0.1111111111111111,0.0
110,10,9,0.1,0.0
111,10,9,0.1,0.0
112,10,7,0.3,0.0
113,8,6,0.25,0.0
114,9,8,0.1111111111111111,0.0
115,8,9,-0.125,0.0
116,9,10,-0.1111111111111111,0.0
117,9,9,0.0,0.0
118,9,9,0.0,0.0
119,10,10,0.0,0.0
120,10,10,0.0,0.0
121,10,10,0.0,0.0
122,10,10,0.0,0.0
123,10,9,0.1,0.0
124,10,9,0.1,0.0
125,9,9,0.0,0.0
126,9,9,0.0,0.0
127,9,10,-0.1111111111111111,0.0
128,9,9,0.0,0.0
129,10,10,0.0,0.0
130,8,8,0.0,0.0
131,8,8,0.0,0.0
132,8,8,0.0,0.0
133,9,7,0.2222222222222222,0.0
134,9,10,-0.1111111111111111,0.0
135,10,9,0.1,0.0
136,9,11,-0.2222222222222222,0.0
137,10,10,0.0,0.0
138,9,9,0.0,0.0
139,9,9,0.0,0.0
140,8,8,0.0,0.0
141,8,8,0.0,0.0
142,8,8,0.0,0.0
143,9,9,0.0,0.0
144,10,9,0.1,0.0
145,9,10,-0.1111111111111111,0.0
146,9,10,-0.1111111111111111,0.0
147,9,8,0.1111111111111111,0.0
148,10,10,0.0,0.0
149,10,10,0.0,0.0
150,10,10,0.0,0.0
151,10,9,0.1,0.0
152,10,10,0.0,0.0
153,10,9,0.1,0.0
154,10,9,0.1,0.0
155,10,8,0.2,0.0
156,10,9,0.1,0.0
157,10,8,0.2,0.0
158,9,9,0.0,0.0
159,10,10,0.0,0.0
160,10,10,0.0,0.0
161,10,10,0.0,0.0
162,10,10,0.0,0.0
163,10,10,0.0,0.0
164,10,10,0.0,0.0
165,9,9,0.0,0.0
166,10,10,0.0,0.0
167,9,8,0.1111111111111111,0.0
168,10,9,0.1,0.0
169,10,10,0.0,0.0
170,9,10,-0.1111111111111111,0.0
171,9,9,0.0,0.0
172,9,10,-0.1111111111111111,0.0
173,9,10,-0.1111111111111111,0.0
174,9,9,0.0,0.0
175,9,9,0.0,0.0
176,10,9,0.1,0.0
177,9,9,0.0,0.0
178,10,10,0.0,0.0
179,10,10,0.0,0.0
180,9,8,0.1111111111111111,0.0
181,8,7,0.125,0.0
182,9,8,0.1111111111111111,0.0
183,9,9,0.0,0.0
184,10,9,0.1,0.0
185,10,10,0.0,0.0
186,10,11,-0.1,0.0
187,10,9,0.1,0.0
188,10,9,0.1,0.0
189,10,10,0.0,0.0
190,10,10,0.0,0.0
191,9,9,0.0,0.0
192,10,8,0.2,0.0
193,10,10,0.0,0.0
194,10,9,0.1,0.0
195,9,10,-0.1111111111111111,0.0
196,10,9,0.1,0.0
197,7,7,0.0,0.0
198,10,9,0.1,0.0
199,10,10,0.0,0.0
200,9,9,0.0,0.0
201,10,10,0.0,0.0
202,10,9,0.1,0.0
203,10,10,0.0,0.0
204,10,11,-0.1,0.0
205,10,9,0.1,0.0
206,10,9,0.1,0.0
207,10,10,0.0,0.0
208,10,9,0.1,0.0
209,10,9,0.1,0.0
210,10,9,0.1,0.0
211,10,10,0.0,0.0
212,9,8,0.1111111111111111,0.0
213,9,10,-0.1111111111111111,0.0
214,9,8,0.1111111111111111,0.0
215,9,8,0.1111111111111111,0.0
216,9,8,0.1111111111111111,0.0
217,8,4,0.5,0.0
218,8,8,0.0,0.0
219,8,8,0.0,0.0
220,8,8,0.0,0.0
221,8,8,0.0,0.0
222,10,9,0.1,0.0
223,9,9,0.0,0.0
224,9,9,0.0,0.0
225,9,9,0.0,0.0
226,9,7,0.2222222222222222,0.0
227,9,8,0.1111111111111111,0.0
228,9,10,-0.1111111111111111,0.0
229,10,9,0.1,0.0
230,9,9,0.0,0.0
231,9,9,0.0,0.0
232,7,7,0.0,0.0
233,8,8,0.0,0.0
234,10,10,0.0,0.0
235,10,9,0.1,0.0
236,9,7,0.2222222222222222,0.0
237,9,10,-0.1111111111111111,0.0
238,10,7,0.3,0.0
239,8,8,0.0,0.0
240,8,8,0.0,0.0
241,10,6,0.4,0.0
242,10,9,0.1,0.0
243,9,8,0.1111111111111111,0.0
244,9,9,0.0,0.0
245,10,10,0.0,0.0
246,9,6,0.3333333333333333,0.0
247,8,9,-0.125,0.0
248,10,9,0.1,0.0
249,10,10,0.0,0.0
250,10,10,0.0,0.0
251,10,10,0.0,0.0
252,9,9,0.0,0.0
253,9,8,0.1111111111111111,0.0
254,10,9,0.1,0.0
255,9,10,-0.1111111111111111,0.0
256,10,6,0.4,0.0
257,9,8,0.1111111111111111,0.0
258,9,8,0.1111111111111111,0.0
259,9,8,0.1111111111111111,0.0
260,9,9,0.0,0.0
261,8,8,0.0,0.0
262,9,9,0.0,0.0
263,9,9,0.0,0.0
264,9,6,0.3333333333333333,0.0
265,9,10,-0.1111111111111111,0.0
266,9,8,0.1111111111111111,0.0
267,10,8,0.2,0.0
268,9,10,-0.1111111111111111,0.0
269,9,8,0.1111111111111111,0.0
270,9,7,0.2222222222222222,0.0
271,9,8,0.1111111111111111,0.0
272,10,10,0.0,0.0
273,10,10,0.0,0.0
274,10,9,0.1,0.0
275,10,9,0.1,0.0
276,9,9,0.0,0.0
277,8,8,0.0,0.0
278,8,8,0.0,0.0
279,10,8,0.2,0.0
280,9,9,0.0,0.0
281,9,9,0.0,0.0
282,9,7,0.2222222222222222,0.0
283,8,7,0.125,0.0
284,9,9,0.0,0.0
285,9,9,0.0,0.0
286,9,9,0.0,0.0
287,10,9,0.1,0.0
288,9,9,0.0,0.0
289,9,10,-0.1111111111111111,0.0
290,10,9,0.1,0.0
291,9,8,0.1111111111111111,0.0
292,9,9,0.0,0.0
293,9,9,0.0,0.0
294,9,8,0.1111111111111111,0.0
295,10,7,0.3,0.0
296,9,9,0.0,0.0
297,9,10,-0.1111111111111111,0.0
298,10,10,0.0,0.0
299,8,8,0.0,0.0
300,9,8,0.1111111111111111,0.0
301,9,8,0.1111111111111111,0.0
302,10,10,0.0,0.0
303,10,9,0.1,0.0
304,10,10,0.0,0.0
305,9,9,0.0,0.0
306,10,10,0.0,0.0
307,9,8,0.1111111111111111,0.0
308,9,7,0.2222222222222222,0.0
309,10,10,0.0,0.0
310,8,7,0.125,0.0
311,10,10,0.0,0.0
312,10,10,0.0,0.0
313,10,9,0.1,0.0
314,10,10,0.0,0.0
315,10,10,0.0,0.0
316,10,10,0.0,0.0
317,9,9,0.0,0.0
318,10,6,0.4,0.0
319,9,5,0.4444444444444444,0.0
320,9,9,0.0,0.0
321,10,9,0.1,0.0
322,10,11,-0.1,0.0
323,7,8,-0.14285714285714285,0.0
324,9,8,0.1111111111111111,0.0
325,8,8,0.0,0.0
326,10,9,0.1,0.0
327,10,10,0.0,0.0
328,10,10,0.0,0.0
329,10,10,0.0,0.0
330,10,10,0.0,0.0
331,10,9,0.1,0.0
332,9,10,-0.1111111111111111,0.0
333,10,10,0.0,0.0
334,10,10,0.0,0.0
335,10,9,0.1,0.0
336,8,10,-0.25,0.0
337,8,7,0.125,0.0
338,8,7,0.125,0.0
339,10,6,0.4,0.0
340,10,10,0.0,0.0
341,10,10,0.0,0.0
342,9,9,0.0,0.0
343,10,10,0.0,0.0
344,7,6,0.14285714285714285,0.0
345,9,9,0.0,0.0
346,9,6,0.3333333333333333,0.0
347,9,9,0.0,0.0
348,9,7,0.2222222222222222,0.0
