,binary_runs,hit_or_miss_runs,saved_runs,score
0,9,9,0.0,0.0
1,10,9,0.1,0.0
2,9,9,0.0,0.0
3,10,9,0.1,0.0
4,9,9,0.0,0.0
5,9,8,0.1111111111111111,0.0
6,9,9,0.0,0.0
7,9,9,0.0,0.0
8,9,9,0.0,0.0
9,9,8,0.1111111111111111,0.0
10,9,9,0.0,0.0
11,10,6,0.4,0.0
12,10,10,0.0,0.0
13,10,10,0.0,0.0
14,10,10,0.0,0.0
15,10,10,0.0,0.0
16,9,9,0.0,0.0
17,9,8,0.1111111111111111,0.0
18,8,9,-0.125,0.0
19,10,9,0.1,0.0
20,9,9,0.0,0.0
21,10,10,0.0,0.0
22,10,10,0.0,0.0
23,10,9,0.1,0.0
24,9,9,0.0,0.0
25,10,10,0.0,0.0
26,10,10,0.0,0.0
27,10,9,0.1,0.0
28,10,10,0.0,0.0
29,10,9,0.1,0.0
30,10,8,0.2,0.0
31,9,9,0.0,0.0
32,10,8,0.2,0.0
33,10,9,0.1,0.0
34,9,8,0.1111111111111111,0.0
35,9,7,0.2222222222222222,0.0
36,9,9,0.0,0.0
37,9,9,0.0,0.0
38,9,9,0.0,0.0
39,10,9,0.1,0.0
40,10,9,0.1,0.0
41,10,9,0.1,0.0
42,10,10,0.0,0.0
43,10,10,0.0,0.0
44,9,9,0.0,0.0
45,10,10,0.0,0.0
46,9,9,0.0,0.0
47,9,9,0.0,0.0
48,10,10,0.0,0.0
49,10,9,0.1,0.0
50,9,6,0.3333333333333333,0.0
51,9,9,0.0,0.0
52,10,9,0.1,0.0
53,10,9,0.1,0.0
54,10,9,0.1,0.0
55,9,9,0.0,0.0
56,10,10,0.0,0.0
57,10,9,0.1,0.0
58,10,7,0.3,0.0
59,10,10,0.0,0.0
60,10,9,0.1,0.0
61,9,8,0.1111111111111111,0.0
62,9,8,0.1111111111111111,0.0
63,9,9,0.0,0.0
64,10,9,0.1,0.0
65,9,9,0.0,0.0
66,9,9,0.0,0.0
67,8,8,0.0,0.0
68,9,9,0.0,0.0
69,8,9,-0.125,0.0
70,9,9,0.0,0.0
71,9,9,0.0,0.0
72,9,9,0.0,0.0
73,9,8,0.1111111111111111,0.0
74,9,9,0.0,0.0
75,9,9,0.0,0.0
76,9,8,0.1111111111111111,0.0
77,9,10,-0.1111111111111111,0.0
78,10,10,0.0,0.0
79,9,9,0.0,0.0
80,10,9,0.1,0.0
81,9,9,0.0,0.0
82,9,9,0.0,0.0
83,9,9,0.0,0.0
84,10,9,0.1,0.0
85,9,9,0.0,0.0
86,10,10,0.0,0.0
87,9,9,0.0,0.0
88,10,9,0.1,0.0
89,9,8,0.1111111111111111,0.0
90,9,9,0.0,0.0
91,10,9,0.1,0.0
92,8,8,0.0,0.0
93,10,10,0.0,0.0
94,10,10,0.0,0.0
95,10,10,0.0,0.0
96,10,9,0.1,0.0
97,9,9,0.0,0.0
98,10,10,0.0,0.0
99,9,8,0.1111111111111111,0.0
100,9,10,-0.1111111111111111,0.0
101,10,8,0.2,0.0
102,9,9,0.0,0.0
103,9,9,0.0,0.0
104,10,9,0.1,0.0
105,10,9,0.1,0.0
106,9,10,-0.1111111111111111,0.0
107,10,9,0.1,0.0
108,10,9,0.1,0.0
109,10,9,0.1,0.0
110,9,8,0.1111111111111111,0.0
111,8,8,0.0,0.0
112,9,7,0.2222222222222222,0.0
113,9,6,0.3333333333333333,0.0
114,9,10,-0.1111111111111111,0.0
115,10,9,0.1,0.0
116,10,10,0.0,0.0
117,9,9,0.0,0.0
118,9,8,0.1111111111111111,0.0
119,9,9,0.0,0.0
120,8,8,0.0,0.0
121,8,8,0.0,0.0
122,8,9,-0.125,0.0
123,9,8,0.1111111111111111,0.0
124,9,9,0.0,0.0
125,9,8,0.1111111111111111,0.0
126,9,9,0.0,0.0
127,10,9,0.1,0.0
128,9,10,-0.1111111111111111,0.0
129,9,9,0.0,0.0
130,9,9,0.0,0.0
131,9,9,0.0,0.0
132,9,9,0.0,0.0
133,10,7,0.3,0.0
134,10,10,0.0,0.0
135,10,10,0.0,0.0
136,10,10,0.0,0.0
137,10,10,0.0,0.0
138,10,9,0.1,0.0
139,10,10,0.0,0.0
140,9,9,0.0,0.0
141,10,10,0.0,0.0
142,10,10,0.0,0.0
143,9,9,0.0,0.0
144,9,9,0.0,0.0
145,10,10,0.0,0.0
146,10,10,0.0,0.0
147,10,10,0.0,0.0
148,10,10,0.0,0.0
149,10,8,0.2,0.0
150,10,10,0.0,0.0
151,9,9,0.0,0.0
152,10,10,0.0,0.0
153,10,10,0.0,0.0
154,10,9,0.1,0.0
155,10,10,0.0,0.0
156,9,9,0.0,0.0
157,9,9,0.0,0.0
158,9,9,0.0,0.0
159,9,8,0.1111111111111111,0.0
160,10,9,0.1,0.0
161,9,7,0.2222222222222222,0.0
162,9,8,0.1111111111111111,0.0
163,10,10,0.0,0.0
164,8,8,0.0,0.0
165,9,8,0.1111111111111111,0.0
166,8,8,0.0,0.0
167,8,8,0.0,0.0
168,8,8,0.0,0.0
169,8,8,0.0,0.0
170,9,8,0.1111111111111111,0.0
171,10,10,0.0,0.0
172,9,9,0.0,0.0
173,10,9,0.1,0.0
174,10,9,0.1,0.0
175,10,8,0.2,0.0
176,10,10,0.0,0.0
177,8,9,-0.125,0.0
178,10,10,0.0,0.0
179,10,10,0.0,0.0
180,10,10,0.0,0.0
181,9,9,0.0,0.0
182,9,9,0.0,0.0
