,binary_runs,hit_or_miss_runs,saved_runs,score
0,10,10,0.0,0.011179428777681846
1,9,9,0.0,0.01823165729142495
2,9,9,0.0,0.017457516318454037
3,10,9,0.1,0.018751038084932774
4,9,9,0.0,0.017713719250697722
5,10,9,0.1,0.013980028610160037
6,10,10,0.0,0.0140807061692417
7,10,10,0.0,0.01402826401543956
8,9,9,0.0,0.013849410589814634
9,10,9,0.1,0.013564317546543948
10,10,10,0.0,0.0140492468330097
11,10,6,0.4,0.006677478478489033
12,10,9,0.1,0.013561300697929194
13,9,9,0.0,0.018545201025830373
14,9,10,-0.1111111111111111,0.01867387408235858
15,9,9,0.0,0.018508874070591725
16,9,9,0.0,0.018811535753310533
17,9,9,0.0,0.013872715566849932
18,10,10,0.0,0.013947620531154548
19,10,10,0.0,0.013545057970314639
20,9,10,-0.1111111111111111,0.012323218050377218
21,7,7,0.0,0.08099031476329813
22,9,9,0.0,0.017602463484969313
23,9,9,0.0,0.01415237441486893
24,8,9,-0.125,0.024635169125260224
25,10,10,0.0,0.012726897877785099
26,10,9,0.1,0.012498871513852506
27,10,10,0.0,0.012266476280732857
28,10,10,0.0,0.012459691617928719
29,10,10,0.0,0.012538732041949318
30,10,9,0.1,0.009902081294730141
31,10,10,0.0,0.012898248318074894
32,10,8,0.2,0.009346710059718153
33,10,10,0.0,0.01284868837765097
34,10,10,0.0,0.011702214934525314
35,10,7,0.3,0.007244684911897905
36,10,10,0.0,0.011382092618785866
37,9,10,-0.1111111111111111,0.01661098873073439
38,8,9,-0.125,0.0412069915344761
39,10,9,0.1,0.018755104078832664
40,10,9,0.1,0.010481863794903437
41,9,9,0.0,0.020788843792478497
42,9,10,-0.1111111111111111,0.021031075784644103
43,9,9,0.0,0.030026561754168332
44,9,8,0.1111111111111111,0.02972143365367678
45,9,9,0.0,0.029968392253924635
46,9,9,0.0,0.020493483668392095
47,9,8,0.1111111111111111,0.025517687839305088
48,9,9,0.0,0.018528819833105604
49,9,9,0.0,0.018625081069203804
50,10,7,0.3,0.005679966396929981
51,10,9,0.1,0.012130490873084054
52,10,9,0.1,0.012056402135369652
53,10,10,0.0,0.012529294062220763
54,9,10,-0.1111111111111111,0.012516808685781845
55,10,10,0.0,0.011683153596261372
56,9,9,0.0,0.022268143446205407
57,9,9,0.0,0.021954565544325386
58,9,6,0.3333333333333333,0.01374715758884253
59,9,8,0.1111111111111111,0.0276960796431152
60,9,8,0.1111111111111111,0.027621986318814455
61,9,9,0.0,0.017541223120759623
62,9,9,0.0,0.021570487979048654
63,9,9,0.0,0.020914435075418583
64,9,9,0.0,0.019278120470992657
65,10,9,0.1,0.021279816698947462
66,9,9,0.0,0.017799121062991623
67,9,9,0.0,0.017044226327394274
68,9,9,0.0,0.017435582485701526
69,9,10,-0.1111111111111111,0.017646668729972635
70,10,10,0.0,0.014599515146465125
71,10,10,0.0,0.015769207772849504
72,10,9,0.1,0.015743576382975848
73,9,9,0.0,0.013567448087887806
74,8,8,0.0,0.03882881828502151
75,8,8,0.0,0.03869275741673992
76,9,8,0.1111111111111111,0.018535874618670047
77,9,9,0.0,0.0231394138630723
78,9,8,0.1111111111111111,0.022255531587648012
79,10,10,0.0,0.013340274192029268
80,9,10,-0.1111111111111111,0.012603664514767954
81,10,10,0.0,0.013043407255923085
82,9,9,0.0,0.01272671851639167
83,10,10,0.0,0.013223702459436203
84,9,10,-0.1111111111111111,0.01323466603932073
85,10,10,0.0,0.01323763516616946
86,10,10,0.0,0.011580232802411546
