,binary_runs,hit_or_miss_runs,saved_runs,score
0,8,8,0.0,0.036134292000259034
1,7,8,-0.14285714285714285,0.05017651046065924
2,8,7,0.125,0.04804592279870864
3,10,10,0.0,0.013452353896044359
4,9,9,0.0,0.012708164622018948
5,10,10,0.0,0.013254254107709236
6,10,10,0.0,0.013349706183201518
7,10,10,0.0,0.013299985942868799
8,10,9,0.1,0.013130415576754107
9,10,10,0.0,0.012860119771438598
10,10,9,0.1,0.013319879685887848
11,9,6,0.3333333333333333,0.01403807162965272
12,8,8,0.0,0.02851030401150011
13,10,9,0.1,0.01660009713391028
14,9,9,0.0,0.016715274309151155
15,10,9,0.1,0.016567580333999174
16,9,8,0.1111111111111111,0.0255207485929684
17,10,9,0.1,0.018416027561682816
18,9,10,-0.1111111111111111,0.018515464208913434
19,9,9,0.0,0.017981060712818922
20,10,9,0.1,0.01635906220008858
21,9,9,0.0,0.024605711154057085
22,9,9,0.0,0.017203614781094338
23,10,10,0.0,0.01141412337077901
24,10,10,0.0,0.014787396210478185
25,9,9,0.0,0.024565683684504482
26,9,8,0.1111111111111111,0.02412553978430398
27,10,10,0.0,0.011266897698910669
28,10,9,0.1,0.011444368101020024
29,10,10,0.0,0.011378161031788025
30,10,8,0.2,0.009532212236725008
31,10,10,0.0,0.012416462165623223
32,10,8,0.2,0.008997586172018016
33,10,10,0.0,0.012368753451990778
34,9,10,-0.1111111111111111,0.012414112628780278
35,9,7,0.2222222222222222,0.012102854671413072
36,9,9,0.0,0.019014802045473813
37,9,10,-0.1111111111111111,0.012085493653121336
38,10,10,0.0,0.012129982495392619
39,9,8,0.1111111111111111,0.02593598596606054
40,10,9,0.1,0.010550007041611126
41,9,8,0.1111111111111111,0.02404385718024896
42,9,9,0.0,0.024324016872379253
43,9,9,0.0,0.02432214533809052
44,9,9,0.0,0.01807522387537648
45,10,10,0.0,0.018225412026285713
46,10,10,0.0,0.017017571995737227
47,10,9,0.1,0.016936481807632943
48,9,9,0.0,0.017280621950723815
49,9,9,0.0,0.017370398522815005
50,10,6,0.4,0.005201952146636563
51,10,10,0.0,0.01110959886502354
52,10,10,0.0,0.011041745328519299
53,10,10,0.0,0.011474839366328444
54,10,10,0.0,0.0114634047404385
55,9,8,0.1111111111111111,0.03655776453067403
56,9,9,0.0,0.02689661179762672
57,8,8,0.0,0.02651785620945919
58,9,6,0.3333333333333333,0.016604491502956564
59,10,9,0.1,0.015847953035322992
60,8,7,0.125,0.04567373490409399
61,7,7,0.0,0.043852535842862424
62,10,9,0.1,0.018449799033260456
63,10,9,0.1,0.011320864642884898
64,10,9,0.1,0.010435139230354919
65,10,10,0.0,0.011518643283481775
66,10,10,0.0,0.01160044330103764
67,9,8,0.1111111111111111,0.0241121894332469
68,9,8,0.1111111111111111,0.024665835790895874
69,9,10,-0.1111111111111111,0.01644191334140317
70,9,9,0.0,0.01657243138001492
71,10,9,0.1,0.015790740107217975
72,9,9,0.0,0.015765073653863287
73,10,9,0.1,0.010913629519522485
74,10,10,0.0,0.012715563746913213
75,10,9,0.1,0.012671007416033286
76,10,8,0.2,0.010164218929152027
77,10,10,0.0,0.012688570852579819
78,10,9,0.1,0.012203892727930247
79,8,8,0.0,0.02696088892638194
80,10,9,0.1,0.01261827480608901
81,10,10,0.0,0.013254739972656675
