,binary_runs,hit_or_miss_runs,saved_runs,score
0,10,24,-1.4,0.011488937037113336
1,10,43,-3.3,0.011630896236099166
2,10,7,0.3,0.01113703436917977
3,10,276,-26.6,0.011962234436267571
4,10,7,0.3,0.011300478546728917
5,10,85,-7.5,0.011786078029561144
6,10,42,-3.2,0.01187095694146839
7,10,88,-7.8,0.011826744179258542
8,10,46,-3.6,0.01437403349498472
9,9,14,-0.5555555555555556,0.014078141457373607
10,10,154,-14.4,0.014581439300359567
11,10,2,0.8,0.006930430743772098
12,10,9,0.1,0.014075010333995181
13,10,101,-9.1,0.014588225520292668
14,7,65,-8.285714285714286,0.07050558255468156
15,7,18,-1.5714285714285714,0.0698825954006899
16,10,34,-2.4,0.011408422258641918
17,9,235,-25.11111111111111,0.016454149953852887
18,10,552,-54.2,0.016542993208001597
19,10,30,-2.0,0.016065521921744187
20,9,4,0.5555555555555556,0.014616321939976248
21,9,1023,-112.66666666666667,0.013967884859571724
22,9,21,-1.3333333333333333,0.01363928898935716
23,10,164,-15.4,0.011726674943986277
24,10,657,-64.7,0.01568299592552941
25,10,213,-20.3,0.015638786037556623
26,9,20,-1.2222222222222223,0.01535858669823397
27,10,22,-1.2,0.014321341713575552
28,10,28,-1.8,0.01454692437553539
29,10,27,-1.7,0.01930019934194516
30,9,4,0.5555555555555556,0.015241727208949835
31,9,302,-32.55555555555556,0.019853584609648377
32,9,2,0.7777777777777778,0.014386867130379092
33,9,114,-11.666666666666666,0.019777299503700024
34,8,158,-18.75,0.036349604413087835
35,8,2,0.75,0.03564858795736551
36,8,6,0.25,0.05600838663762603
37,9,201,-21.333333333333332,0.015903673134690526
38,9,268,-28.77777777777778,0.015962217530062092
39,9,73,-7.111111111111111,0.02060041215262591
40,9,2,0.7777777777777778,0.01844245628214136
41,9,40,-3.4444444444444446,0.03199166602885128
42,10,559,-54.9,0.017286764731659843
43,9,518,-56.55555555555556,0.017285434664524445
44,9,95,-9.555555555555555,0.017109782093802654
45,10,235,-22.5,0.017251948325304554
46,10,116,-10.6,0.011943983378508528
47,10,67,-5.7,0.011887069164187391
48,8,7,0.125,0.06870841802897693
49,9,117,-12.0,0.03373084139557424
50,10,2,0.8,0.0061666246282044285
51,10,16,-0.6,0.013169849058160873
52,9,11,-0.2222222222222222,0.013089412330545582
53,10,257,-24.7,0.013602822048890833
54,10,145,-13.5,0.013589266914987307
55,10,7,0.3,0.01097470651905217
56,10,658,-64.8,0.012563353832832165
57,10,83,-7.3,0.01238643773053729
58,10,2,0.8,0.007755969893920673
59,8,323,-39.375,0.02922699084405912
60,8,222,-26.75,0.029148801928209095
61,9,4,0.5555555555555556,0.022825121264256256
62,9,148,-15.444444444444445,0.02858350013780339
63,10,44,-3.4,0.01133213926017889
64,10,4,0.6,0.01044553164898971
65,10,179,-16.9,0.011530114891700327
66,10,686,-67.6,0.011611996383461238
67,10,9,0.1,0.016040285083314985
68,10,30,-2.0,0.016408587195132888
69,10,112,-10.2,0.016607238756528832
70,10,635,-62.5,0.014803507183364968
71,10,151,-14.1,0.012839901607565807
72,10,120,-11.0,0.012819031558439428
73,10,5,0.5,0.01104714618712542
74,10,163,-15.3,0.01287112861676834
75,9,80,-7.888888888888889,0.012826027102195704
76,10,2,0.8,0.010288565881999664
77,9,115,-11.777777777777779,0.01990784113991798
78,10,9,0.1,0.019147397549012624
79,8,26,-2.25,0.0474860836123267
80,9,8,0.1111111111111111,0.02565212097547745
81,10,62,-5.2,0.011954186579795495
82,10,21,-1.1,0.011663943701176559
83,10,332,-32.2,0.012119425801055425
84,10,348,-33.8,0.012129473841101327
85,10,347,-33.7,0.012132195023946527
86,9,389,-42.22222222222222,0.02327615176244875
87,9,85,-8.444444444444445,0.031260686497848814
88,9,126,-13.0,0.02218072924441596
89,9,2,0.7777777777777778,0.01683076217570536
90,10,196,-18.6,0.01186221678596873
91,9,797,-87.55555555555556,0.011974984243548679
92,10,100,-9.0,0.011852297068211656
93,9,128,-13.222222222222221,0.020673042269122005
94,9,8,0.1111111111111111,0.020229660854334384
95,9,345,-37.333333333333336,0.014116559225704803
96,10,252,-24.2,0.01408936304974965
97,9,108,-11.0,0.014020655978710994
98,10,515,-50.5,0.014158591122979777
99,9,133,-13.777777777777779,0.026189613721202893
100,10,6,0.4,0.011960223455470022
101,9,3,0.6666666666666666,0.011554790210634776
102,10,371,-36.1,0.013957283172754405
103,9,36,-3.0,0.014103525607751117
104,10,139,-12.9,0.014251829714495316
105,10,254,-24.4,0.01431248116767991
106,10,105,-9.5,0.01530946727467432
107,10,125,-11.5,0.01534805308980903
108,10,44,-3.4,0.015210811646556825
109,10,23,-1.3,0.01515214964213889
110,10,457,-44.7,0.012762398295807368
111,10,4,0.6,0.007206348505667159
112,10,2,0.8,0.006670408197877303
113,10,410,-40.0,0.012773038250731557
114,10,231,-22.1,0.012741861699834545
115,8,373,-45.625,0.03080884304512005
116,8,99,-11.375,0.030586529842778647
117,10,4,0.6,0.011653744547871478
118,10,77,-6.7,0.012286923954405225
119,10,80,-7.0,0.012315222378004564
120,10,17,-0.7,0.012115144316155927
121,10,1021,-101.1,0.012342685699484325
122,10,552,-54.2,0.012302669101570862
123,9,27,-2.0,0.011947989280348778
124,10,85,-7.5,0.012188344109143308
125,10,159,-14.9,0.012237942036272851
126,8,101,-11.625,0.05409610336260898
127,8,120,-14.0,0.05414381902415468
128,10,27,-1.7,0.012126726398926653
129,10,242,-23.2,0.012337661652750413
130,10,7,0.3,0.0116939323132866
131,10,28,-1.8,0.012169901700456131
132,9,2,0.7777777777777778,0.009138099492560978
133,10,781,-77.1,0.014204515031823989
134,10,31,-2.1,0.013859213559983803
135,10,235,-22.5,0.014114498767586019
136,10,401,-39.1,0.01415566998884744
137,8,2,0.75,0.03873572540814543
138,8,185,-22.125,0.04221734108584192
139,10,2,0.8,0.008923838369858475
140,10,82,-7.2,0.011327455148379975
141,10,15,-0.5,0.010967388548291896
142,10,12,-0.2,0.010939768488689898
143,10,3,0.7,0.010133784018916344
144,8,92,-10.5,0.028252783972237804
145,9,385,-41.77777777777778,0.02847817762518928
146,10,21,-1.1,0.012695374597000663
147,10,274,-26.4,0.013277261316242957
148,10,2,0.8,0.00970667572026457
149,9,83,-8.222222222222221,0.013128840143960633
150,10,35,-2.5,0.01303509431396665
