,binary_runs,hit_or_miss_runs,saved_runs,score
0,10,22,-1.2,0.0
1,10,33,-2.3,0.0
2,10,7,0.3,0.0
3,10,248,-23.8,0.0
4,10,7,0.3,0.0
5,10,74,-6.4,0.0
6,10,34,-2.4,0.0
7,9,59,-5.555555555555555,0.0
8,8,26,-2.25,0.0
9,8,8,0.0,0.0
10,9,53,-4.888888888888889,0.0
11,8,2,0.75,0.0
12,8,3,0.625,0.0
13,7,24,-2.4285714285714284,0.0
14,10,480,-47.0,0.0
15,10,131,-12.1,0.0
16,9,16,-0.7777777777777778,0.0
17,9,225,-24.0,0.0
18,10,547,-53.7,0.0
19,10,26,-1.6,0.0
20,8,2,0.75,0.0
21,10,743,-73.3,0.0
22,8,11,-0.375,0.0
23,10,120,-11.0,0.0
24,7,204,-28.142857142857142,0.0
25,10,389,-37.9,0.0
26,10,51,-4.1,0.0
27,10,22,-1.2,0.0
28,10,48,-3.8,0.0
29,9,30,-2.3333333333333335,0.0
30,9,4,0.5555555555555556,0.0
31,9,375,-40.666666666666664,0.0
32,10,2,0.8,0.0
33,10,155,-14.5,0.0
34,10,424,-41.4,0.0
35,9,2,0.7777777777777778,0.0
36,10,13,-0.3,0.0
37,10,143,-13.3,0.0
38,9,203,-21.555555555555557,0.0
39,9,80,-7.888888888888889,0.0
40,10,2,0.8,0.0
41,10,95,-8.5,0.0
42,10,623,-61.3,0.0
43,10,584,-57.4,0.0
44,10,87,-7.7,0.0
45,9,224,-23.88888888888889,0.0
46,9,55,-5.111111111111111,0.0
47,9,38,-3.2222222222222223,0.0
48,8,10,-0.25,0.0
49,10,203,-19.3,0.0
50,9,2,0.7777777777777778,0.0
51,9,13,-0.4444444444444444,0.0
52,9,9,0.0,0.0
53,9,159,-16.666666666666668,0.0
54,7,31,-3.4285714285714284,0.0
55,10,10,0.0,0.0
56,9,534,-58.333333333333336,0.0
57,10,61,-5.1,0.0
58,9,2,0.7777777777777778,0.0
59,9,474,-51.666666666666664,0.0
60,10,336,-32.6,0.0
61,7,4,0.42857142857142855,0.0
62,10,195,-18.5,0.0
63,10,32,-2.2,0.0
64,10,4,0.6,0.0
65,10,122,-11.2,0.0
66,9,540,-59.0,0.0
67,10,8,0.2,0.0
68,9,15,-0.6666666666666666,0.0
69,9,66,-6.333333333333333,0.0
70,9,586,-64.11111111111111,0.0
71,10,143,-13.3,0.0
72,10,115,-10.5,0.0
73,10,3,0.7,0.0
74,8,90,-10.25,0.0
75,9,47,-4.222222222222222,0.0
76,8,2,0.75,0.0
77,8,36,-3.5,0.0
78,9,17,-0.8888888888888888,0.0
79,10,87,-7.7,0.0
80,10,5,0.5,0.0
81,10,35,-2.5,0.0
82,9,14,-0.5555555555555556,0.0
83,10,422,-41.2,0.0
84,9,446,-48.55555555555556,0.0
85,10,453,-44.3,0.0
86,10,733,-72.3,0.0
87,10,173,-16.3,0.0
88,10,107,-9.7,0.0
89,10,2,0.8,0.0
90,9,117,-12.0,0.0
91,9,477,-52.0,0.0
92,10,102,-9.2,0.0
93,10,277,-26.7,0.0
94,10,26,-1.6,0.0
95,10,292,-28.2,0.0
96,10,296,-28.6,0.0
97,10,119,-10.9,0.0
98,10,605,-59.5,0.0
99,8,118,-13.75,0.0
100,9,109,-11.11111111111111,0.0
101,9,6,0.3333333333333333,0.0
102,9,3,0.6666666666666666,0.0
103,9,196,-20.77777777777778,0.0
104,9,21,-1.3333333333333333,0.0
105,9,67,-6.444444444444445,0.0
106,9,129,-13.333333333333334,0.0
107,7,23,-2.2857142857142856,0.0
108,8,65,-7.125,0.0
109,9,20,-1.2222222222222223,0.0
110,10,32,-2.2,0.0
111,10,281,-27.1,0.0
112,9,4,0.5555555555555556,0.0
113,9,2,0.7777777777777778,0.0
114,9,472,-51.44444444444444,0.0
115,9,283,-30.444444444444443,0.0
116,9,656,-71.88888888888889,0.0
117,10,185,-17.5,0.0
118,9,5,0.4444444444444444,0.0
119,10,71,-6.1,0.0
120,9,71,-6.888888888888889,0.0
121,9,17,-0.8888888888888888,0.0
122,9,604,-66.11111111111111,0.0
123,9,330,-35.666666666666664,0.0
124,9,12,-0.3333333333333333,0.0
125,10,89,-7.9,0.0
126,9,156,-16.333333333333332,0.0
127,10,277,-26.7,0.0
128,10,344,-33.4,0.0
129,8,3,0.625,0.0
130,9,96,-9.666666666666666,0.0
131,8,4,0.5,0.0
132,8,9,-0.125,0.0
133,10,2,0.8,0.0
134,9,575,-62.888888888888886,0.0
135,10,28,-1.8,0.0
136,10,378,-36.8,0.0
137,10,630,-62.0,0.0
138,9,2,0.7777777777777778,0.0
139,9,354,-38.333333333333336,0.0
140,7,2,0.7142857142857143,0.0
141,9,52,-4.777777777777778,0.0
142,9,6,0.3333333333333333,0.0
143,9,3,0.6666666666666666,0.0
144,10,2,0.8,0.0
145,10,269,-25.9,0.0
146,10,940,-93.0,0.0
147,10,16,-0.6,0.0
148,10,244,-23.4,0.0
149,10,2,0.8,0.0
150,10,114,-10.4,0.0
151,10,48,-3.8,0.0
152,10,840,-83.0,0.0
153,10,26,-1.6,0.0
154,9,40,-3.4444444444444446,0.0
155,10,104,-9.4,0.0
156,10,58,-4.8,0.0
157,9,99,-10.0,0.0
158,9,5,0.4444444444444444,0.0
159,10,4,0.6,0.0
160,10,886,-87.6,0.0
161,10,2,0.8,0.0
162,10,6,0.4,0.0
163,8,32,-3.0,0.0
164,10,127,-11.7,0.0
165,10,3,0.7,0.0
166,10,11,-0.1,0.0
167,10,801,-79.1,0.0
168,10,380,-37.0,0.0
169,10,120,-11.0,0.0
170,9,149,-15.555555555555555,0.0
171,10,444,-43.4,0.0
172,10,150,-14.0,0.0
173,9,3,0.6666666666666666,0.0
174,9,416,-45.22222222222222,0.0
175,10,2,0.8,0.0
176,9,38,-3.2222222222222223,0.0
177,9,78,-7.666666666666667,0.0
178,10,161,-15.1,0.0
179,10,594,-58.4,0.0
