,binary_runs,hit_or_miss_runs,saved_runs,score
0,10,22,-1.2,0.011314853752322647
1,10,33,-2.3,0.0114546620509516
2,10,7,0.3,0.010968282953947407
3,10,248,-23.8,0.011780979969403547
4,10,7,0.3,0.011129250699005742
5,10,74,-6.4,0.011607492601999609
6,10,34,-2.4,0.01169108546833021
7,9,59,-5.555555555555555,0.028827662841484688
8,8,26,-2.25,0.02846011926007958
9,8,8,0.0,0.027874253138293833
10,9,53,-4.888888888888889,0.02887078249975633
11,8,2,0.75,0.023257473552360672
12,8,3,0.625,0.04723540402150739
13,7,24,-2.4285714285714284,0.05748009905663157
14,10,480,-47.0,0.014016671422031165
15,10,131,-12.1,0.01389282202892643
16,9,16,-0.7777777777777778,0.013621361555129226
17,9,225,-24.0,0.01556952009313617
18,10,547,-53.7,0.015653586826549215
19,10,26,-1.6,0.015201786056243222
20,8,2,0.75,0.040994796068356425
21,10,743,-73.3,0.01956909604360907
22,8,11,-0.375,0.03310660459905348
23,10,120,-11.0,0.0196640666500838
24,7,204,-28.142857142857142,0.05088327820760916
25,10,389,-37.9,0.011608043366672007
26,10,51,-4.1,0.011400063298353158
27,10,22,-1.2,0.011188098444925366
28,10,48,-3.8,0.01434517743592215
29,9,30,-2.3333333333333335,0.014262188978086513
30,9,4,0.5555555555555556,0.011263121403788056
31,9,375,-40.666666666666664,0.014671121796480405
32,10,2,0.8,0.010631411831525623
33,10,155,-14.5,0.014614749702170757
34,10,424,-41.4,0.014705446065353947
35,9,2,0.7777777777777778,0.009103935205995187
36,10,13,-0.3,0.014303168362559881
37,10,143,-13.3,0.012878618079061233
38,9,203,-21.555555555555557,0.02456757906876307
39,9,80,-7.888888888888889,0.01854368995148837
40,10,2,0.8,0.010414604800264876
41,10,95,-8.5,0.01231771389211018
42,10,623,-61.3,0.01246123956461678
43,10,584,-57.4,0.012460280778421281
44,10,87,-7.7,0.012333660663408505
45,9,224,-23.88888888888889,0.022578297113570216
46,9,55,-5.111111111111111,0.02841857084315068
47,9,38,-3.2222222222222223,0.028283154324023417
48,8,10,-0.25,0.03980444437281474
49,10,203,-19.3,0.019700619188622762
50,9,2,0.7777777777777778,0.008920242958680914
51,9,13,-0.4444444444444444,0.02532846518265246
52,9,9,0.0,0.025173765146360397
53,9,159,-16.666666666666668,0.026161180675061613
54,7,31,-3.4285714285714284,0.07667135418087531
55,10,10,0.0,0.011197347837759927
56,9,534,-58.333333333333336,0.016878596676659318
57,10,61,-5.1,0.016640913688146346
58,9,2,0.7777777777777778,0.01041995999211295
59,9,474,-51.666666666666664,0.019258922651177374
60,10,336,-32.6,0.01920740076516442
61,7,4,0.42857142857142855,0.05924673426252247
62,10,195,-18.5,0.018132704924411887
63,10,32,-2.2,0.014028930056087477
64,10,4,0.6,0.012931328971333703
65,10,122,-11.2,0.014274019553089948
66,9,540,-59.0,0.01927011583726593
67,10,8,0.2,0.0184528330880518
68,9,15,-0.6666666666666666,0.018876532751092998
69,9,66,-6.333333333333333,0.01910506414084338
70,9,586,-64.11111111111111,0.014053571106575596
71,10,143,-13.3,0.01265686494400779
72,10,115,-10.5,0.012636292384925587
73,10,3,0.7,0.010889664225015324
74,8,90,-10.25,0.03627293996993448
75,9,47,-4.222222222222222,0.03614583599148995
76,8,2,0.75,0.028994784623756552
77,8,36,-3.5,0.03619593847309801
78,9,17,-0.8888888888888888,0.013609690442571303
79,10,87,-7.7,0.014141331735935497
80,10,5,0.5,0.013360489297755084
81,10,35,-2.5,0.016549262612089773
82,9,14,-0.5555555555555556,0.01614745221656027
83,10,422,-41.2,0.011552720818458345
84,9,446,-48.55555555555556,0.011562298949700858
85,10,453,-44.3,0.011564892873124627
86,10,733,-72.3,0.011603315405253658
87,10,173,-16.3,0.01666344852841892
88,10,107,-9.7,0.016635563572452227
89,10,2,0.8,0.010315655581413464
90,9,117,-12.0,0.0182050131013759
91,9,477,-52.0,0.01837807739707939
92,10,102,-9.2,0.018782008294824726
93,10,277,-26.7,0.012233786063373385
94,10,26,-1.6,0.011971405369004746
95,10,292,-28.2,0.012255206568252765
96,10,296,-28.6,0.014942648398532368
97,10,119,-10.9,0.014869779942402152
98,10,605,-59.5,0.015016069411951594
99,8,118,-13.75,0.03923814132571988
100,9,109,-11.11111111111111,0.028854027273909667
101,9,6,0.3333333333333333,0.019270522946457837
102,9,3,0.6666666666666666,0.018617279238640136
103,9,196,-20.77777777777778,0.02248822637016992
104,9,21,-1.3333333333333333,0.02573484538521724
105,9,67,-6.444444444444445,0.026005458641369907
106,9,129,-13.333333333333334,0.026116130458653745
107,7,23,-2.2857142857142856,0.08061175747716798
108,8,65,-7.125,0.031150992393890832
109,9,20,-1.2222222222222223,0.030872440669721543
